NiKoFuNk;10;5;4;dificil;ataque
God_Rahamon_Descartes;2;6;7;dificil;vida
Nico_towers;12;1;2;dificil;ataque
Marie_CircuiTikz;13;1;1;dificil;ataque
Duck_olives;9;1;5;medio;ataque
Patricio_guisante;1;2;12;facil;vida
default_FIS140_NPC_0;3;7;5;medio;defensa
Profesora_Krabappel;10;4;1;facil;ataque
Profesor_Moriarty;9;3;3;dificil;ataque
Maestra_Kindergarten;4;8;3;facil;defensa
Srta._Keane;5;3;7;facil;vida
Sr._Ratburn;2;4;9;facil;vida
Maestra_Miel;12;1;2;facil;ataque
Srta._Finster;1;10;4;facil;defensa
Miss_Hoover;4;10;1;facil;defensa
Srta._Prism;11;3;1;facil;ataque
Maestra_Marsh;8;1;6;facil;ataque
Maestra_Sumire;6;3;6;facil;ataque
Miss_Fowl;7;7;1;facil;ataque
Maestra_Minnie;8;4;3;facil;ataque
Srta._Groberg;6;7;2;facil;defensa
Maestra_Trunchbull;5;5;5;facil;ataque
Maestra_Birdbrain;10;1;4;facil;ataque
Srta._Spellman;5;2;8;facil;vida
default_progra_NPC_0;4;1;10;facil;vida
default_progra_NPC_1;11;1;3;facil;ataque
default_progra_NPC_2;6;6;3;facil;ataque
default_progra_NPC_3;4;2;9;facil;vida
default_progra_NPC_4;7;3;5;facil;ataque
default_progra_NPC_5;7;5;3;facil;ataque
default_progra_NPC_6;6;5;4;facil;ataque
default_progra_NPC_7;10;3;2;facil;ataque
default_progra_NPC_8;5;6;4;facil;defensa
default_progra_NPC_9;10;3;2;facil;ataque
default_progra_NPC_10;6;7;2;facil;defensa
default_progra_NPC_11;6;1;8;facil;vida
default_progra_NPC_12;3;6;6;facil;defensa
default_progra_NPC_13;13;1;1;facil;ataque
default_progra_NPC_14;8;3;4;facil;ataque
default_progra_NPC_15;2;7;6;facil;defensa
default_progra_NPC_16;7;3;5;facil;ataque
default_progra_NPC_17;13;1;1;facil;ataque
default_progra_NPC_18;1;12;2;facil;defensa
default_progra_NPC_19;2;8;5;facil;defensa
default_progra_NPC_20;13;1;1;facil;ataque
default_progra_NPC_21;12;1;2;facil;ataque
default_progra_NPC_22;12;1;2;facil;ataque
Sr._Shepherd;9;1;5;medio;ataque
default_MAT203_NPC_1;2;9;4;medio;defensa
Maestro_Yoshida;7;4;4;medio;ataque
Maestra_Choksondik;12;1;2;medio;ataque
Sr._Mackey;1;6;8;medio;vida
Maestro_Kenobi;8;1;6;medio;ataque
default_MAT203_NPC_2;1;8;6;medio;defensa
Sr._Turner;12;2;1;medio;ataque
default_MAT203_NPC_3;10;1;4;medio;ataque
Sr._Belding;6;7;2;medio;defensa
Maestro_Kame;8;1;6;medio;ataque
default_MAT203_NPC_4;12;2;1;medio;ataque
default_MAT203_NPC_5;10;2;3;medio;ataque
default_MAT203_NPC_6;4;5;6;medio;vida
default_MAT203_NPC_7;5;6;4;medio;defensa
default_MAT203_NPC_8;11;2;2;medio;ataque
default_MAT203_NPC_9;2;11;2;medio;defensa
default_MAT203_NPC_10;4;10;1;medio;defensa
Profesor_Tomoe;4;6;5;dificil;defensa
Maestro_Roshi;12;1;2;dificil;ataque
Dr._Doofenshmirtz;12;1;2;dificil;ataque
Profesor_Chaos;15;5;3;dificil;ataque
Maestro_Splinter;9;1;5;dificil;ataque
Profesor_Chaos;8;5;2;dificil;ataque
